edificio_id,codigo_region,region,heating_demand_kwh,calibration_target_source,calibration_target_fuel_energy_kwh,mvp_target_fuel_energy_kwh,mvp_assigned_useful_energy_kwh,mvp_unmet_heating_energy_kwh,trial,event_fuel_energy_kwh,event_duration_hours,min_event_interval_hours,storage_capacity_kwh,storage_loss_rate_per_hour,valid,error,score,assigned_useful_energy_kwh,assigned_fuel_energy_kwh,profile_error_kwh,unmet_heating_energy_kwh,storage_spill_energy_kwh,stored_energy_end_kwh,event_count,is_best
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,59,16.0,1.0,2.0,16.0,0.01,True,,0.5183794090452596,1705.677627981469,4154.8184164463,1224.4433648035915,1064.2013163160645,0.0,0.0,260,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,60,16.0,1.0,2.0,32.0,0.0,True,,0.24999920952644164,2077.40920822315,4154.8184164463,1038.701319837477,692.4697360743834,0.0,0.0,260,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,61,16.0,1.0,2.0,32.0,0.01,True,,0.6458382939880397,1529.1662109026333,4154.8184164463,1312.7333446064756,1240.7127333949,0.0,0.0,260,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,62,16.0,1.0,2.0,64.0,0.0,True,,0.24999920952644164,2077.40920822315,4154.8184164463,1038.701319837477,692.4697360743834,0.0,0.0,260,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,63,16.0,1.0,2.0,64.0,0.01,True,,0.8602718952740664,1232.1074204687895,4154.8184164463,1461.019044249953,1537.771523828744,0.0,0.0,260,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,64,16.0,1.0,4.0,8.0,0.0,True,,0.5568509805646348,1712.8942953859087,4154.8184164463,1220.0699707544015,1056.9846489116246,364.51491283724135,0.0,260,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,65,16.0,1.0,4.0,8.0,0.01,True,,0.7053764941032041,1504.8539588559297,4154.8184164463,1323.909468003905,1265.0249854416038,350.8273136127228,0.0,260,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,66,16.0,1.0,4.0,16.0,0.0,True,,0.24999920952644167,2077.40920822315,4154.8184164463,1038.701319837477,692.4697360743833,0.0,0.0,260,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,67,16.0,1.0,4.0,16.0,0.01,True,,0.5183794090452596,1705.677627981469,4154.8184164463,1224.4433648035915,1064.2013163160645,0.0,0.0,260,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,68,16.0,1.0,4.0,32.0,0.0,True,,0.24999920952644164,2077.40920822315,4154.8184164463,1038.701319837477,692.4697360743834,0.0,0.0,260,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,69,16.0,1.0,4.0,32.0,0.01,True,,0.6458329503141469,1529.172554329691,4154.8184164463,1312.727001179418,1240.7063899678424,0.0,0.0,260,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,70,16.0,1.0,4.0,64.0,0.0,True,,0.24999920952644164,2077.40920822315,4154.8184164463,1038.701319837477,692.4697360743834,0.0,0.0,260,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,71,16.0,1.0,4.0,64.0,0.01,True,,0.8602718952740664,1232.1074204687895,4154.8184164463,1461.019044249953,1537.771523828744,0.0,0.0,260,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,72,16.0,2.0,1.0,8.0,0.0,True,,0.34788121097652486,1961.0917142990295,4154.8184164463,1096.4307803285446,808.7872299985039,116.31749392412053,0.0,260,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,73,16.0,2.0,1.0,8.0,0.01,True,,0.5389684849687661,1699.9250491890148,4154.8184164463,1226.9791608664152,1069.9538951085185,137.25325756127395,0.0,260,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,74,16.0,2.0,1.0,16.0,0.0,True,,0.24999920952644167,2077.40920822315,4154.8184164463,1038.701319837477,692.4697360743833,0.0,0.0,260,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,75,16.0,2.0,1.0,16.0,0.01,True,,0.5128491690362925,1713.3675508592046,4154.8184164463,1220.6910289613058,1056.511393438329,0.0,0.0,260,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,76,16.0,2.0,1.0,32.0,0.0,True,,0.24999920952644164,2077.40920822315,4154.8184164463,1038.701319837477,692.4697360743834,0.0,0.0,260,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,77,16.0,2.0,1.0,32.0,0.01,True,,0.6402023335207414,1536.9266110870215,4154.8184164463,1308.7179527235517,1232.9523332105118,0.0,0.0,260,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,78,16.0,2.0,1.0,64.0,0.0,True,,0.24999920952644164,2077.40920822315,4154.8184164463,1038.701319837477,692.4697360743834,0.0,0.0,260,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,79,16.0,2.0,1.0,64.0,0.01,True,,0.854452277408916,1240.1060474967217,4154.8184164463,1456.8361563369763,1529.7728968008118,0.0,0.0,260,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,80,16.0,2.0,2.0,8.0,0.0,True,,0.34788121097652486,1961.0917142990295,4154.8184164463,1096.4307803285446,808.7872299985039,116.31749392412053,0.0,260,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,81,16.0,2.0,2.0,8.0,0.01,True,,0.5389684849687661,1699.9250491890148,4154.8184164463,1226.9791608664152,1069.9538951085185,137.25325756127395,0.0,260,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,82,16.0,2.0,2.0,16.0,0.0,True,,0.24999920952644167,2077.40920822315,4154.8184164463,1038.701319837477,692.4697360743833,0.0,0.0,260,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,83,16.0,2.0,2.0,16.0,0.01,True,,0.5128491690362925,1713.3675508592046,4154.8184164463,1220.6910289613058,1056.511393438329,0.0,0.0,260,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,84,16.0,2.0,2.0,32.0,0.0,True,,0.24999920952644164,2077.40920822315,4154.8184164463,1038.701319837477,692.4697360743834,0.0,0.0,260,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,85,16.0,2.0,2.0,32.0,0.01,True,,0.6402023335207414,1536.9266110870215,4154.8184164463,1308.7179527235517,1232.9523332105118,0.0,0.0,260,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,86,16.0,2.0,2.0,64.0,0.0,True,,0.24999920952644164,2077.40920822315,4154.8184164463,1038.701319837477,692.4697360743834,0.0,0.0,260,False
99748,1,Tarapaca,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2077.40920822315,692.4697360743835,87,16.0,2.0,2.0,64.0,0.01,True,,0.854452277408916,1240.1060474967217,4154.8184164463,1456.8361563369763,1529.7728968008118,0.0,0.0,260,False
