edificio_id,codigo_region,region,codigo_comuna,nombre_comuna,regional_sample_rank,n_inmuebles,winter_setpoint_c,setpoint_scenario,thermal_zone,model_persons,model_area_m2,heating_demand_kwh,target_fuel_energy_kwh,redpe_target_wood_volume_stere,assigned_fuel_energy_kwh,assigned_useful_energy_kwh,wood_volume_stere,unallocated_fuel_energy_kwh,unmet_heating_energy_kwh,storage_spill_energy_kwh,event_count,event_fuel_energy_kwh,event_duration_hours,min_event_interval_hours,storage_capacity_kwh,storage_loss_rate_per_hour
2342848,14,Los Rios,10108,Panguipulli,18,1,22.0,invierno_22C,F,6,200.0,20093.58646450492,26430.0,14.16,26430.0,11129.263891306022,14.158928571428572,0.0,8964.322573198897,1732.5953480770822,826,32.0,1.0,1.0,16.0,0.01
2328792,14,Los Rios,10104,Los Lagos,19,1,22.0,invierno_22C,F,2,38.0,7033.415742556536,26430.0,14.16,19648.0,7033.415742556536,10.525714285714287,6782.0,0.0,1995.2619262143687,614,32.0,1.0,1.0,16.0,0.01
2363323,14,Los Rios,10111,Río Bueno,20,1,22.0,invierno_22C,F,3,145.0,20307.029106205373,26430.0,14.16,26430.0,11017.971009309953,14.158928571428572,0.0,9289.05809689542,1807.0776045320208,826,32.0,1.0,1.0,16.0,0.01
2335409,14,Los Rios,10107,Máfil,21,1,22.0,invierno_22C,G,8,60.0,3417.936329211301,26430.0,14.16,10272.0,3417.936329211301,5.502857142857144,16158.0,0.0,1087.9172070206514,321,32.0,1.0,1.0,16.0,0.01
2353618,14,Los Rios,10109,La Unión,22,1,22.0,invierno_22C,F,8,60.0,8111.453312564114,26430.0,14.16,22112.0,8111.453312564114,11.845714285714285,4318.0,0.0,2156.314247420182,691,32.0,1.0,1.0,16.0,0.01
2284689,14,Los Rios,10101,Valdivia,23,1,22.0,invierno_22C,G,3,39.0,4916.758593045428,26430.0,14.16,14496.0,4916.758593045428,7.765714285714285,11934.0,0.0,1535.8638649965817,453,32.0,1.0,1.0,16.0,0.01
2365647,14,Los Rios,10112,Lago Ranco,24,1,22.0,invierno_22C,F,2,91.0,18254.99862300022,26430.0,14.16,26430.0,10779.833749054604,14.158928571428572,0.0,7475.164873945618,2024.409630894462,826,32.0,1.0,1.0,16.0,0.01
2331769,14,Los Rios,10105,Futrono,25,1,22.0,invierno_22C,F,1,351.0,46734.951392795905,26430.0,14.16,26430.0,11815.121483303496,14.158928571428572,0.0,34919.829909492415,1157.821292130171,826,32.0,1.0,1.0,16.0,0.01
2280231,14,Los Rios,10101,Valdivia,26,1,22.0,invierno_22C,G,3,82.0,6404.457207392878,26430.0,14.16,17856.0,6404.457207392878,9.565714285714284,8574.0,0.0,1801.5367933807695,558,32.0,1.0,1.0,16.0,0.01
2350425,14,Los Rios,10109,La Unión,27,1,22.0,invierno_22C,F,2,35.0,7025.081844389348,26430.0,14.16,19744.0,7025.081844389348,10.577142857142858,6686.0,0.0,2045.1447968439322,617,32.0,1.0,1.0,16.0,0.01
2342810,14,Los Rios,10108,Panguipulli,28,1,22.0,invierno_22C,F,2,36.0,8331.170030883392,26430.0,14.16,22848.0,8331.170030883392,12.24,3582.0,0.0,2296.139642380423,714,32.0,1.0,1.0,16.0,0.01
2334311,14,Los Rios,10106,Corral,29,1,22.0,invierno_22C,G,4,56.0,8128.614719086109,26430.0,14.16,22304.0,8128.614719086109,11.94857142857143,4126.0,0.0,2218.5201930245967,697,32.0,1.0,1.0,16.0,0.01
2365900,14,Los Rios,10112,Lago Ranco,30,1,22.0,invierno_22C,F,2,28.0,7972.143779257275,26430.0,14.16,22048.0,7972.143779257275,11.811428571428573,4382.0,0.0,2262.28178797396,689,32.0,1.0,1.0,16.0,0.01
2354832,14,Los Rios,10110,Paillaco,31,1,22.0,invierno_22C,F,6,85.0,11326.382491646598,26430.0,14.16,26430.0,10311.820973833095,14.158928571428572,0.0,1014.5615178135024,2303.3028403900717,826,32.0,1.0,1.0,16.0,0.01
2322465,14,Los Rios,10102,Mariquina,32,1,22.0,invierno_22C,G,1,30.0,4242.516897779519,26430.0,14.16,12896.0,4242.516897779519,6.9085714285714275,13534.0,0.0,1395.5927777130075,403,32.0,1.0,1.0,16.0,0.01
2362450,14,Los Rios,10111,Río Bueno,33,1,22.0,invierno_22C,F,3,44.0,7678.886810638702,26430.0,14.16,21312.0,7678.886810638702,11.417142857142858,5118.0,0.0,2179.84170447224,666,32.0,1.0,1.0,16.0,0.01
2355533,14,Los Rios,10110,Paillaco,1,1,24.0,invierno_24C,F,3,49.0,8761.704991606235,26430.0,14.16,23776.0,8761.704991606235,12.737142857142858,2654.0,0.0,2331.1939447183477,743,32.0,1.0,1.0,16.0,0.01
2301379,14,Los Rios,10101,Valdivia,2,1,24.0,invierno_24C,G,4,45.0,5226.369092224928,26430.0,14.16,15136.0,5226.369092224928,8.108571428571429,11294.0,0.0,1575.5890875101893,473,32.0,1.0,1.0,16.0,0.01
2366833,14,Los Rios,10112,Lago Ranco,3,1,24.0,invierno_24C,F,2,100.0,20612.619397170914,26430.0,14.16,26430.0,11022.764686183797,14.158928571428572,0.0,9589.854710987116,1813.1249641842915,826,32.0,1.0,1.0,16.0,0.01
2323851,14,Los Rios,10103,Lanco,4,1,24.0,invierno_24C,F,2,46.0,8331.966459875603,26430.0,14.16,22752.0,8331.966459875603,12.188571428571427,3678.0,0.0,2257.7398119570416,711,32.0,1.0,1.0,16.0,0.01
2363208,14,Los Rios,10111,Río Bueno,5,1,24.0,invierno_24C,F,2,100.0,16343.640341151953,26430.0,14.16,26430.0,10711.733219345228,14.158928571428572,0.0,5631.907121806726,2057.70205814491,826,32.0,1.0,1.0,16.0,0.01
