codigo_region,region,fit_records,holdout_records,target_source,target_fuel_energy_kwh,target_wood_volume_stere,trial,event_fuel_energy_kwh,event_duration_hours,min_event_interval_hours,storage_capacity_kwh,storage_loss_rate_per_hour,valid,error,score,assigned_useful_energy_kwh,assigned_fuel_energy_kwh,fuel_error_kwh,profile_error_kwh,unmet_heating_energy_kwh,unallocated_fuel_energy_kwh,storage_spill_energy_kwh,stored_energy_end_kwh,event_count
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,88,16.0,2.0,4.0,8.0,0.0,True,,0.4469557222647766,3291.8336343707383,6981.301756430104,0.0,1842.697269069297,1362.3675365826648,0.0,198.81724384431365,0.0,437
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,89,16.0,2.0,4.0,8.0,0.01,True,,0.5614442886251916,3030.37540448012,6981.301756430104,0.0,1973.9304021263572,1623.8257664732835,0.0,213.21776548383684,0.0,437
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,90,16.0,2.0,4.0,16.0,0.0,True,,0.33332828168336504,3490.650878215052,6981.301756430104,0.0,1745.2901720147293,1163.5502927383511,0.0,0.0,0.0,437
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,91,16.0,2.0,4.0,16.0,0.01,True,,0.4937216666399564,3117.2771764755007,6981.301756430104,0.0,1931.6105377830718,1536.9239944779024,0.0,0.0,0.0,437
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,92,16.0,2.0,4.0,32.0,0.0,True,,0.33332828168336504,3490.650878215052,6981.301756430104,0.0,1745.2901720147293,1163.5502927383511,0.0,0.0,0.0,437
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,93,16.0,2.0,4.0,32.0,0.01,True,,0.5755350504075987,2926.9913204229265,6981.301756430104,0.0,2027.0598174481675,1727.2098505304766,0.0,0.0,0.0,437
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,94,16.0,2.0,4.0,64.0,0.0,True,,0.33332828168336504,3490.650878215052,6981.301756430104,0.0,1745.2901720147293,1163.5502927383511,0.0,0.0,0.0,437
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,95,16.0,2.0,4.0,64.0,0.01,True,,0.7125937568677335,2608.0544786163173,6981.301756430104,0.0,2186.565901075822,2046.1466923370858,0.0,0.0,0.0,437
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,96,32.0,1.0,1.0,8.0,0.0,True,,1.5193898493625368,1420.5263658367753,6981.301756430104,0.0,2780.1080843636064,3233.6748051166282,0.0,2070.124512378277,0.0,219
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,97,32.0,1.0,1.0,8.0,0.01,True,,1.5730888450391403,1295.3355030350217,6981.301756430104,0.0,2842.843905548768,3358.865667918382,0.0,2069.300427024335,0.0,219
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,98,32.0,1.0,1.0,16.0,0.0,True,,0.7539716495921024,2756.3636005598146,6981.301756430104,0.0,2111.922983433341,1897.8375703935885,0.0,734.2872776552373,0.0,219
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,99,32.0,1.0,1.0,16.0,0.01,True,,0.9358355759726906,2335.2255503523506,6981.301756430104,0.0,2323.0253026566343,2318.975620601053,0.0,739.9867815853597,0.0,219
1,Tarapaca,5,5,MVP_coverage_mid,6981.301756430104,,100,32.0,1.0,1.0,32.0,0.0,True,,0.33332828168336504,3490.650878215052,6981.301756430104,0.0,1745.2901720147293,1163.5502927383511,0.0,0.0,0.0,219
